id;ccode1;ccode2;year;trade1;trade2
90;2;20;2009;228376;180387
127;2;31;2009;844.9;2700.83
233;2;40;2009;0;586.74
355;2;41;2009;566;870.76
464;2;42;2009;3420.7;5510.95
512;2;51;2009;501;1895.58
560;2;52;2009;5623.8;2188.12
604;2;53;2009;33.9;444.95
636;2;54;2009;2.9;84.37
672;2;55;2009;6.1;65.23
703;2;56;2009;19.1;149.6
734;2;57;2009;1.2;85.14
763;2;58;2009;9.5;157
790;2;60;2009;56.6;177.1
930;2;70;2009;178335;123677
959;2;80;2009;108.1;278.08
1099;2;90;2009;3379.1;4290.88
1210;2;91;2009;3489.7;2081.82
1345;2;92;2009;1881.1;2615.54
1455;2;93;2009;1672.6;692.52
1545;2;94;2009;5803.3;4801.46
1635;2;95;2009;322;4793.69
1775;2;100;2009;11875.3;9508.97
1915;2;101;2009;28785.3;10056.5
1959;2;110;2009;179;286.66
1994;2;115;2009;148.3;419.65
2134;2;130;2009;5610.3;3579.7
2274;2;135;2009;4412.2;4543.63
2414;2;140;2009;21017.7;22340.5
2554;2;145;2009;522.5;474.98
2689;2;150;2009;63.9;293.8
2829;2;155;2009;6620.3;7130.02
2969;2;160;2009;4133.4;5177.21
3097;2;165;2009;254.3;818.84
3237;2;200;2009;48315;46892.2
3325;2;205;2009;28187.7;10480.5
3461;2;210;2009;16589.5;34383.4
3597;2;211;2009;14025.7;20206.2
3684;2;212;2009;456.8;528.22
3823;2;220;2009;34670.8;26501.9
3840;2;221;2009;-9;-9
3860;2;223;2009;-9;-9
4000;2;225;2009;16397;8982.99
4140;2;230;2009;8192.1;9295.62
4157;2;232;2009;-9;-9
4297;2;235;2009;1629.3;1206.17
4395;2;255;2009;-9;-9
4559;2;290;2009;2143.3;2113.54
4683;2;305;2009;6512.2;2277.42
4775;2;310;2009;2267.6;1228.16
4862;2;316;2009;1978.3;1184.07
4879;2;317;2009;641.3;321.86
5019;2;325;2009;27280.1;13186.4
5037;2;331;2009;-9;-9
5083;2;338;2009;223.2;107.23
5175;2;339;2009;15.8;52.25
5178;2;341;2009;-9;-9
5195;2;343;2009;46.3;111.18
5213;2;344;2009;261.5;542.23
5343;2;345;2009;58.36;121.66
5361;2;346;2009;26.2;23.32
5363;2;347;2009;-9;-9
5381;2;349;2009;400.5;453.91
5519;2;350;2009;887.7;1928.31
5569;2;352;2009;53.5;118.11
5671;2;355;2009;240.9;197.54
5690;2;359;2009;8.8;44.98
5822;2;360;2009;772.2;714.17
5962;2;365;2009;18994.2;8645.44
6004;2;366;2009;168.9;128.6
6046;2;367;2009;151.8;81.04
6088;2;368;2009;619.6;203.43
6107;2;369;2009;513.8;1289.33
6126;2;370;2009;596.1;431.55
6145;2;371;2009;79.1;121.11
6164;2;372;2009;71.7;223.73
6183;2;373;2009;2027.8;264.71
6276;2;375;2009;4134.6;1308.94
6416;2;380;2009;8405.8;4522.01
6517;2;385;2009;5890.3;4221.68
6653;2;390;2009;5699.4;2680.61
6719;2;395;2009;189.7;250.05
6754;2;402;2009;0.7;7.15
6789;2;403;2009;0.2;4.4
6825;2;404;2009;0;1.76
6867;2;411;2009;2587;336.6
6912;2;420;2009;1.3;37.18
6962;2;432;2009;3.7;40.48
7012;2;433;2009;7.5;136.41
7062;2;434;2009;0.5;438.13
7112;2;435;2009;36.6;61.71
7162;2;436;2009;107.6;63.91
7212;2;437;2009;778.8;228.04
7264;2;438;2009;94.6;104.17
7314;2;439;2009;2.3;28.6
7404;2;450;2009;85;104.39
7453;2;451;2009;28.6;46.97
7506;2;452;2009;144.4;697.73
7556;2;461;2009;7;14.77
7606;2;471;2009;267.6;169.07
7656;2;475;2009;19737.3;4023.8
7706;2;481;2009;1283.5;187.88
7756;2;482;2009;3.6;34.76
7806;2;483;2009;2059.9;68.97
7856;2;484;2009;3188.6;304.81
7906;2;490;2009;339.1;87.89
7954;2;500;2009;32.9;130.9
8001;2;501;2009;292.8;719.73
8050;2;510;2009;51.2;174.02
8100;2;516;2009;4.2;9.46
8148;2;517;2009;19.7;37.4
8198;2;520;2009;0.1;4.51
8231;2;522;2009;2.9;216.37
8339;2;530;2009;119.4;303.6
8356;2;531;2009;0.5;6.7
8391;2;540;2009;9703.3;1565.19
8426;2;541;2009;39.5;117.61
8472;2;551;2009;8.6;50.7
8517;2;552;2009;23.7;93.94
8563;2;553;2009;69.5;44.33
8653;2;560;2009;6043.8;5441.84
8673;2;565;2009;329.3;202.3
8717;2;570;2009;315.9;16.6
8761;2;571;2009;132.8;93.3
8803;2;572;2009;115.7;14.6
8853;2;580;2009;266.7;144.81
8888;2;581;2009;1.1;2.09
8930;2;590;2009;177.5;80.71
8964;2;591;2009;6.4;37.4
9060;2;600;2009;519.9;1766.71
9108;2;615;2009;11150.7;2005.57
9174;2;616;2009;338.1;762.32
9233;2;620;2009;1981.5;732.6
9287;2;625;2009;10.7;86.68
9427;2;630;2009;68.8;310.09
9567;2;640;2009;3857.1;8584.6
9645;2;645;2009;9719.3;1952.39
9731;2;651;2009;2169.4;4744.23
9793;2;652;2009;320.5;334.18
9857;2;660;2009;79.5;1584.99
9921;2;663;2009;954.4;996.23
9983;2;666;2009;18961.6;5847.7
10066;2;670;2009;23243.3;11884.1
10151;2;679;2009;7.6;419.1
10224;2;690;2009;3969.1;2146.98
10263;2;692;2009;502.6;735.24
10302;2;694;2009;536.1;2992.22
10341;2;696;2009;1565.5;13317.9
10380;2;698;2009;966.5;1151.52
10470;2;700;2009;124.3;1662.65
10489;2;701;2009;96.5;341.11
10508;2;702;2009;9;71.18
10527;2;703;2009;6.3;57.09
10546;2;704;2009;89.9;107.14
10565;2;705;2009;1598.3;659.34
10705;2;710;2009;313489;117441.1
10794;2;712;2009;16;103.77
10855;2;713;2009;23552.86;18153.9
10936;2;731;2009;0;0.88
10997;2;732;2009;40543.8;29160.6
11131;2;740;2009;98401.5;60486.6
11194;2;750;2009;22043.2;16643.6
11233;2;760;2009;0.2;2.7
11296;2;770;2009;3361.4;1800.59
11334;2;771;2009;3886.6;468.15
11396;2;775;2009;0.1;7.7
11458;2;780;2009;1667.5;252.45
11503;2;781;2009;3.1;19.03
11593;2;790;2009;60.1;33.99
11716;2;800;2009;19863.8;8501.96
11773;2;811;2009;2004.7;90.59
11830;2;812;2009;45.9;22.55
11886;2;816;2009;13038.3;3009.4
11961;2;820;2009;23888.5;13844.2
12006;2;830;2009;15856.6;29216.5
12032;2;835;2009;42.6;110.33
12096;2;840;2009;7060.9;5488.21
12157;2;850;2009;13650.9;7094.37
12165;2;860;2009;-9;-9
12255;2;900;2009;8289.8;19696.3
12290;2;910;2009;107.2;239.58
12380;2;920;2009;2721.2;2681.63
12409;2;935;2009;2.2;4.29
12441;2;940;2009;1;6.71
12452;2;946;2009;1.4;0.7
12462;2;947;2009;0.1;0.1
12502;2;950;2009;167.4;34.1
12513;2;955;2009;3.7;14.3
12524;2;970;2009;0.1;3.5
12543;2;983;2009;-9;-9
12559;2;986;2009;0;0
12578;2;987;2009;-9;-9
12612;2;990;2009;5.3;20.35
12649;20;31;2009;28.78;148.25
12739;20;40;2009;488.18;302.13
12815;20;41;2009;20.94;39.26
12901;20;42;2009;142.95;147.76
12949;20;51;2009;160;106.64
12997;20;52;2009;309.78;263
13041;20;53;2009;8.35;57.5
13073;20;54;2009;0.38;4.6
13109;20;55;2009;0.5;5.78
13140;20;56;2009;2.32;10.55
13171;20;57;2009;0.22;11.92
13200;20;58;2009;0.43;19.12
13227;20;60;2009;7.2;8.32
13317;20;70;2009;16081.4;8034.12
13346;20;80;2009;6.85;6.05
13436;20;90;2009;257.43;109.97
13526;20;91;2009;133.37;39.36
13616;20;92;2009;61.6;46.46
13706;20;93;2009;75.44;24.21
13796;20;94;2009;344.99;103.49
13886;20;95;2009;40.65;87.31
13976;20;100;2009;708.57;675.07
14066;20;101;2009;865.92;552.2
14110;20;110;2009;290.91;27.78
14145;20;115;2009;518.18;12.04
14235;20;130;2009;224.25;155.92
14325;20;135;2009;2800.44;420.33
14415;20;140;2009;2505.45;1760.66
14505;20;145;2009;88.83;12.15
14595;20;150;2009;9.14;13.11
14685;20;155;2009;1669.09;718.52
14775;20;160;2009;677.84;254.13
14865;20;165;2009;50.41;26.55
14955;20;200;2009;9088.23;8074.45
15043;20;205;2009;2109.91;520.75
15129;20;210;2009;1805.63;2351.48
15215;20;211;2009;1405.57;1914.83
15302;20;212;2009;138.33;76.1
15391;20;220;2009;5427.62;2678.61
15408;20;221;2009;-9;-9
15428;20;223;2009;-9;-9
15518;20;225;2009;3316.82;759.22
15608;20;230;2009;1284.77;1057.95
15625;20;232;2009;-9;-9
15715;20;235;2009;314.27;162.27
15761;20;255;2009;-9;-9
15919;20;290;2009;723.19;156.51
15993;20;305;2009;1144.51;387.05
16083;20;310;2009;358.18;107.91
16168;20;316;2009;258.36;207.54
16185;20;317;2009;161.25;46.64
16275;20;325;2009;4293.66;1631.31
16293;20;331;2009;-9;-9
16339;20;338;2009;22.34;112.55
16425;20;339;2009;3.54;21.58
16428;20;341;2009;-9;-9
16445;20;343;2009;8.24;23.22
16463;20;344;2009;24.65;104.9
16551;20;345;2009;0;0
16569;20;346;2009;8.28;3.31
16571;20;347;2009;-9;-9
16589;20;349;2009;85.39;45.22
16677;20;350;2009;136.2;138.55
16727;20;352;2009;2.03;10.73
16817;20;355;2009;115.01;70.47
16836;20;359;2009;1.82;6.03
16926;20;360;2009;117.19;114.56
